FAO Monthly Food Price Index,,,,,,
2014-2016=100,,,,,,
Date,Food Price Index,Meat,Dairy,Cereals,Oils,Sugar
1-Oct,54.2,61.3,62.8,51,43.3,42
1-Nov,54.7,59.5,60.6,51.9,48.2,47.5
1-Dec,54.3,58.2,56.9,52,50.6,48.5
2-Jan,53.5,58.4,53,51.7,49.2,48.2
2-Feb,51.7,56.6,52.8,50.4,47.8,40.5
2-Mar,52,59.1,50.7,49.6,47.6,41.4
2-Apr,51,56.3,48.9,49.3,48.9,42.6
2-May,50.5,55.2,44.8,50.2,51.6,37.6
2-Jun,51.3,55.4,42.9,52,55.8,35.6
2-Jul,52,55.1,40.6,54.6,56.1,39.5
2-Aug,53.4,55,40.1,58.1,59.6,39
2-Sep,54.9,54.4,41.6,63.8,56.7,43.1
2-Oct,55.2,52.6,42.9,64.4,58.7,46.5
2-Nov,56.3,52.8,45.5,63,63.9,48.5
2-Dec,55.6,51.1,49.3,59.8,65.5,49.2
3-Jan,55.9,53.1,51.3,58,64.3,50.7
3-Feb,56.5,54.1,53.1,57.8,62.3,55.7
3-Mar,55.5,54.5,53.7,56.5,59.2,50.9
3-Apr,55.6,55.7,52.7,56.4,59.5,48
3-May,56.3,56.3,52.6,58.2,61,44.4
3-Jun,56,56.2,52.6,57.7,61.9,41.6
3-Jul,56.7,60.5,53.2,56.5,58.8,42.3
3-Aug,57.6,60.7,53.6,59.9,57.1,42.3
3-Sep,58.7,63,55.2,60.5,59.3,37
3-Oct,60.3,62.7,57.6,60.6,67.3,36.9
3-Nov,61.8,62.2,58.6,64.8,68.8,37.6
3-Dec,62.4,61.2,59.7,65.7,71.5,38.9
4-Jan,64.3,65.9,60.9,66.9,71.2,35.9
4-Feb,65,63.8,64.3,67.5,76,36.2
4-Mar,66.7,66.3,65.2,68.5,76.7,40
4-Apr,67.2,66.3,65.8,70.2,76.4,40.7
4-May,66.3,65.8,67.8,68.8,73.5,39.2
4-Jun,66.1,68.8,70.7,66.4,66,42.9
4-Jul,65.6,70.7,72.6,60.7,64.8,49
4-Aug,64.5,68.9,72.7,59.1,65.4,46.9
4-Sep,65.2,69.6,73.3,60,66.2,47.6
4-Oct,64.7,67.7,73.8,59.3,65.8,52.3
4-Nov,65.4,68.3,75.1,60,66.9,50.5
4-Dec,65.6,68.6,75.8,60.5,66,51
5-Jan,65.4,68.6,76.2,60.5,63.1,54
5-Feb,65.9,70,76.7,60.3,62.2,56.3
5-Mar,67.1,70.6,77,61.5,66.7,55
5-Apr,65.6,69.3,76.2,59.5,65,53.2
5-May,66.3,71.8,76.5,59.4,64.2,53.1
5-Jun,67.2,73,76.4,60.2,64.6,56
5-Jul,67.4,71.9,77.1,61.2,64.4,59.7
5-Aug,67.5,72.3,78.3,60.9,62.5,61.5
5-Sep,68.4,73.2,78.7,61.5,64,63.8
5-Oct,69.4,73.3,78.5,62.1,66.8,68.8
5-Nov,68.8,73.5,78,60.6,65.4,70.4
5-Dec,69.5,73.6,76.9,61.5,63.5,82.6
6-Jan,69.4,70,74.3,62.7,63.6,97.5
6-Feb,70.4,67.7,74.5,64.8,65,111.1
6-Mar,69.4,66.8,73.1,63.9,65.1,106.7
6-Apr,69.7,66.2,71.6,65.1,66.7,108.2
