TIME	GEO	UNIT	INDX	COICOP	Value	Flag and Footnotes		
2005M05	France	Index	 2015=100	Agricultural commodity price index	Fruit and vegetables juices 	81.6	e	
2005M05	France	Index	 2015=100	Agricultural commodity price index	Wine from grapes	67.6	e	
2005M05	France	Index	 2015=100	Agricultural commodity price index	Beer	54.4	e	
2005M06	France	Index	 2015=100	Agricultural commodity price index	Food	73.8	e	
2005M06	France	Index	 2015=100	Agricultural commodity price index	Bread and cereals	59.4	e	
2005M06	France	Index	 2015=100	Agricultural commodity price index	Bread	55.9	e	
2005M06	France	Index	 2015=100	Agricultural commodity price index	Meat	84.8	e	
2005M06	France	Index	 2015=100	Agricultural commodity price index	Beef and veal	84.3	e	
2005M06	France	Index	 2015=100	Agricultural commodity price index	Pork	95.4	e	
2005M06	France	Index	 2015=100	Agricultural commodity price index	Lamb and goat	74	e	
2005M06	France	Index	 2015=100	Agricultural commodity price index	Poultry	75.9	e	
2005M06	France	Index	 2015=100	Agricultural commodity price index	Fish and seafood	:		
2005M06	France	Index	 2015=100	Agricultural commodity price index	Milk	 cheese and eggs	80.9	e
2005M06	France	Index	 2015=100	Agricultural commodity price index	Fresh whole milk 	84.1	e	
2005M06	France	Index	 2015=100	Agricultural commodity price index	Yoghurt	84.1	e	
2005M06	France	Index	 2015=100	Agricultural commodity price index	Cheese and curd	84.1	e	
2005M06	France	Index	 2015=100	Agricultural commodity price index	Eggs	54	e	
2005M06	France	Index	 2015=100	Agricultural commodity price index	Oils and fats	56.8	e	
2005M06	France	Index	 2015=100	Agricultural commodity price index	Butter	84.6	e	
2005M06	France	Index	 2015=100	Agricultural commodity price index	Olive oil	:		
2005M06	France	Index	 2015=100	Agricultural commodity price index	Other edible oils	56.8	e	
2005M06	France	Index	 2015=100	Agricultural commodity price index	Fruit	80.2	e	
2005M06	France	Index	 2015=100	Agricultural commodity price index	Vegetables	95.8	e	
2005M06	France	Index	 2015=100	Agricultural commodity price index	Potatoes	55.8	e	
2005M06	France	Index	 2015=100	Agricultural commodity price index	Sugar	115.5	e	
2005M06	France	Index	 2015=100	Agricultural commodity price index	Coffee	 tea and cocoa	:	
2005M06	France	Index	 2015=100	Agricultural commodity price index	Fruit and vegetables juices 	77.2	e	
2005M06	France	Index	 2015=100	Agricultural commodity price index	Wine from grapes	66.2	e	
2005M06	France	Index	 2015=100	Agricultural commodity price index	Beer	57.2	e	
2005M07	France	Index	 2015=100	Agricultural commodity price index	Food	74.7	e	
2005M07	France	Index	 2015=100	Agricultural commodity price index	Bread and cereals	62.3	e	
2005M07	France	Index	 2015=100	Agricultural commodity price index	Bread	58.8	e	
2005M07	France	Index	 2015=100	Agricultural commodity price index	Meat	85.6	e	
2005M07	France	Index	 2015=100	Agricultural commodity price index	Beef and veal	84.3	e	
2005M07	France	Index	 2015=100	Agricultural commodity price index	Pork	99.4	e	
2005M07	France	Index	 2015=100	Agricultural commodity price index	Lamb and goat	73.7	e	
2005M07	France	Index	 2015=100	Agricultural commodity price index	Poultry	75.9	e	
2005M07	France	Index	 2015=100	Agricultural commodity price index	Fish and seafood	:		
2005M07	France	Index	 2015=100	Agricultural commodity price index	Milk	 cheese and eggs	87.8	e
2005M07	France	Index	 2015=100	Agricultural commodity price index	Fresh whole milk 	91	e	
2005M07	France	Index	 2015=100	Agricultural commodity price index	Yoghurt	91	e	
2005M07	France	Index	 2015=100	Agricultural commodity price index	Cheese and curd	91	e	
2005M07	France	Index	 2015=100	Agricultural commodity price index	Eggs	60.4	e	
2005M07	France	Index	 2015=100	Agricultural commodity price index	Oils and fats	57.9	e	
2005M07	France	Index	 2015=100	Agricultural commodity price index	Butter	92	e	
2005M07	France	Index	 2015=100	Agricultural commodity price index	Olive oil	:		
2005M07	France	Index	 2015=100	Agricultural commodity price index	Other edible oils	57.9	e	
2005M07	France	Index	 2015=100	Agricultural commodity price index	Fruit	72.1	e	
2005M07	France	Index	 2015=100	Agricultural commodity price index	Vegetables	90.9	e	
2005M07	France	Index	 2015=100	Agricultural commodity price index	Potatoes	56.6	e	
2005M07	France	Index	 2015=100	Agricultural commodity price index	Sugar	115.1	e	
2005M07	France	Index	 2015=100	Agricultural commodity price index	Coffee	 tea and cocoa	:	
2005M07	France	Index	 2015=100	Agricultural commodity price index	Fruit and vegetables juices 	70.4	e	
2005M07	France	Index	 2015=100	Agricultural commodity price index	Wine from grapes	64.7	e	
2005M07	France	Index	 2015=100	Agricultural commodity price index	Beer	62.8	e	
2005M08	France	Index	 2015=100	Agricultural commodity price index	Food	75.4	e	
2005M08	France	Index	 2015=100	Agricultural commodity price index	Bread and cereals	64.1	e	
2005M08	France	Index	 2015=100	Agricultural commodity price index	Bread	60.6	e	
2005M08	France	Index	 2015=100	Agricultural commodity price index	Meat	85.8	e	
2005M08	France	Index	 2015=100	Agricultural commodity price index	Beef and veal	84.2	e	
2005M08	France	Index	 2015=100	Agricultural commodity price index	Pork	100.8	e	
2005M08	France	Index	 2015=100	Agricultural commodity price index	Lamb and goat	74.4	e	
2005M08	France	Index	 2015=100	Agricultural commodity price index	Poultry	75.9	e	
2005M08	France	Index	 2015=100	Agricultural commodity price index	Fish and seafood	:		
2005M08	France	Index	 2015=100	Agricultural commodity price index	Milk	 cheese and eggs	92.1	e
2005M08	France	Index	 2015=100	Agricultural commodity price index	Fresh whole milk 	95.1	e	
2005M08	France	Index	 2015=100	Agricultural commodity price index	Yoghurt	95.1	e	
2005M08	France	Index	 2015=100	Agricultural commodity price index	Cheese and curd	95.1	e	
2005M08	France	Index	 2015=100	Agricultural commodity price index	Eggs	66.3	e	
2005M08	France	Index	 2015=100	Agricultural commodity price index	Oils and fats	58.8	e	
2005M08	France	Index	 2015=100	Agricultural commodity price index	Butter	96.2	e	
2005M08	France	Index	 2015=100	Agricultural commodity price index	Olive oil	:		
2005M08	France	Index	 2015=100	Agricultural commodity price index	Other edible oils	58.8	e	
2005M08	France	Index	 2015=100	Agricultural commodity price index	Fruit	68.3	e	
2005M08	France	Index	 2015=100	Agricultural commodity price index	Vegetables	86.8	e	
2005M08	France	Index	 2015=100	Agricultural commodity price index	Potatoes	59	e	
2005M08	France	Index	 2015=100	Agricultural commodity price index	Sugar	115.6	e	
2005M08	France	Index	 2015=100	Agricultural commodity price index	Coffee	 tea and cocoa	:	
2005M08	France	Index	 2015=100	Agricultural commodity price index	Fruit and vegetables juices 	67.1	e	
